Name,Age,Years of Experience,salary
BRADDY,22,4,25000
BORST,21,3,25000
BIRDWELL,22,4,25000
BENT,21,3,25000
BAZAN,22,4,25000
BANK,22,4,25000
BANAS,21,3,25000
BADE,21,3,25000
AUBREY,21,3,25000
ARANGO,21,3,25000
AHEARN,22,4,25000
ADDIS,22,4,25000
ZUMWALT,21,3,25000
WURTH,21,3,25000
WILK,21,3,25000
WIDENER,22,4,25000
WAGSTAFF,22,4,25000
VELLA,21,3,25000
URRUTIA,21,3,25000
TERWILLIGER,22,4,25000
TART,22,4,25000
STEINMAN,21,3,25000
STAATS,22,4,25000
SLOAT,22,4,25000
RIVES,22,4,25000
RIGGLE,21,3,25000
REVELS,22,4,25000
REICHARD,22,4,25000
PRICKETT,22,4,25000
POFF,21,3,25000
PITZER,22,4,25000
PETRO,21,3,25000
PELL,21,3,25000
NORTHRUP,21,3,25000
NICKS,21,3,25000
MOLINE,21,3,25000
MIELKE,22,4,25000
MAYNOR,22,4,25000
MALLON,22,4,25000
MAGNESS,22,4,25000
LINGLE,22,4,25000
LINDELL,22,4,25000
LIEB,21,3,25000
LESKO,21,3,25000
LEBEAU,22,4,25000
LAMMERS,21,3,25000
LAFOND,22,4,25000
KIERNAN,21,3,25000
KETRON,21,3,25000
JURADO,21,3,25000
HOLMGREN,22,4,25000
HILBURN,21,3,25000
HAYASHI,21,3,25000
HASHIMOTO,21,3,25000
HARBAUGH,21,3,25000
HANS,21,3,25000
GUILLOT,21,3,25000
GARD,21,3,25000
FROEHLICH,21,3,25000
FELIPE,21,3,25000
FEINBERG,21,3,25000
FALCO,22,4,25000
DUFOUR,21,3,25000
DREES,21,3,25000
DONEY,21,3,25000
DIEP,22,4,25000
DELAO,22,4,25000
DAVES,21,3,25000
DAIL,22,4,25000
CUTTING,21,3,25000
CROWSON,22,4,25000
COSS,22,4,25000
CONGDON,22,4,25000
CARNER,21,3,25000
CAMARENA,22,4,25000
BUTTERWORTH,21,3,25000
BURLINGAME,21,3,25000
BOUFFARD,22,4,25000
BLOCH,22,4,25000
BILYEU,21,3,25000
BARTA,21,3,25000
BAKKE,21,3,25000
BAILLARGEON,22,4,25000
AVENT,21,3,25000
AQUILAR,21,3,25000
AKE,21,3,25000
AHO,21,3,25000
ZERINGUE,21,3,25000
YEH,22,4,25000
YARBER,22,4,25000
WOLFSON,21,3,25000
WENDELL,22,4,25000
VOGLER,21,3,25000
VOELKER,22,4,25000
TRUSS,22,4,25000
TROXELL,22,4,25000
THRIFT,21,3,25000
STROUSE,22,4,25000
SPIELMAN,22,4,25000
SISTRUNK,21,3,25000
SHOWS,23,5,80000
SEVIGNY,23,5,80000
SCHULLER,23,5,80000
SCHAAF,24,6,80000
RUFFNER,23,5,80000
ROUTH,23,5,80000
ROSEMAN,24,6,80000
RICCIARDI,24,6,80000
PERAZA,24,6,80000
PEGRAM,23,5,80000
OVERTURF,23,5,80000
OLANDER,24,6,80000
ODANIEL,24,6,80000
NEU,23,5,80000
MILLNER,24,6,80000
MELCHOR,23,5,80000
MAXIE,23,5,80000
MARVEL,23,5,80000
MARONEY,24,6,80000
MACHUCA,23,5,80000
MACALUSO,23,5,80000
LIVESAY,23,5,80000
LAYFIELD,23,5,80000
LASKOWSKI,23,5,80000
KWIATKOWSKI,23,5,80000
KO,24,6,80000
KILEY,24,6,80000
KILBY,24,6,80000
JULIEN,24,6,80000
HOVEY,24,6,80000
HEYWOOD,23,5,80000
HAYMAN,23,5,80000
HAVARD,23,5,80000
HARVILLE,24,6,80000
HAIGH,23,5,80000
HAGOOD,24,6,80000
GRIECO,24,6,80000
GLASSMAN,24,6,80000
GEBHARDT,23,5,80000
GARRY,24,6,80000
FREEZE,23,5,80000
FLEISCHER,23,5,80000
FANN,24,6,80000
ELSON,24,6,80000
ECCLES,24,6,80000
CUNHA,23,5,80000
CRUMB,24,6,80000
CREW,23,5,80000
BLAKLEY,23,5,80000
BARDWELL,24,6,80000
ABSHIRE,23,5,80000
WOODHAM,24,6,80000
WINES,23,5,80000
WELTER,23,5,80000
WARGO,24,6,80000
VARNADO,24,6,80000
TUTT,23,5,80000
TRAYNOR,24,6,80000
SWANEY,23,5,80000
SVOBODA,24,6,80000
STRICKER,22,4,25000
STOFFEL,22,4,25000
STAMBAUGH,22,4,25000
SICKLER,21,3,25000
SHACKLEFORD,21,3,25000
SELMAN,21,3,25000
SEAVER,21,3,25000
SANSOM,21,3,25000
SANMIGUEL,22,4,25000
ROYSTON,22,4,25000
ROURKE,21,3,25000
ROCKETT,21,3,25000
RIOUX,21,3,25000
PULEO,22,4,25000
PITCHFORD,22,4,25000
PERSONS,21,3,25000
NORMAND,21,3,25000
NARDI,22,4,25000
MULVANEY,22,4,25000
MIDDAUGH,21,3,25000
MANNERS,22,4,25000
MALEK,22,4,25000
